name,muscle_group
Alternate Hammer Curl,arms
Alternate Incline Dumbbell Curl,arms
Barbell Curl,arms
Barbell Curls Lying Against An Incline,arms
Bench Dips,arms
Body Tricep Press,arms
Close-Grip Barbell Bench Press,arms
Close-Grip Dumbbell Press,arms
Close-Grip EZ Bar Curl,arms
Close-Grip Standing Barbell Curl,arms
Concentration Curls,arms
Cross Body Hammer Curl,arms
Decline Dumbbell Triceps Extension,arms
Decline EZ Bar Triceps Extension,arms
Dips - Triceps Version,arms
Dumbbell Alternate Bicep Curl,arms
Dumbbell Bicep Curl,arms
Dumbbell Tricep Extension -Pronated Grip,arms
Finger Curls,arms
Flexor Incline Dumbbell Curls,arms
Barbell Shrug,back
Barbell Shrug Behind The Back,back
Bent Over Barbell Row,back
Bent Over One-Arm Long Bar Row,back
Bent Over Two-Dumbbell Row,back
Bent Over Two-Dumbbell Row With Palms In,back
Chin-Up,back
Dumbbell Incline Row,back
Dumbbell Shrug,back
Incline Bench Pull,back
Isometric Neck Exercise - Front And Back,back
Isometric Neck Exercise - Sides,back
Lying Cambered Barbell Row,back
One-Arm Dumbbell Row,back
One-Arm Long Bar Row,back
Pullups,back
Standing Dumbbell Upright Row,back
Stiff Leg Barbell Good Morning,back
Straight Bar Bench Mid Rows,back
T-Bar Row with Handle,back
Barbell Bench Press - Medium Grip,chest
Barbell Incline Bench Press - Medium Grip,chest
Decline Barbell Bench Press,chest
Decline Dumbbell Bench Press,chest
Decline Dumbbell Flyes,chest
Dumbbell Bench Press,chest
Dumbbell Bench Press with Neutral Grip,chest
Dumbbell Flyes,chest
Front Raise And Pullover,chest
Hammer Grip Incline DB Bench Press,chest
Incline Dumbbell Bench With Palms Facing In,chest
Incline Dumbbell Flyes,chest
Incline Dumbbell Flyes - With A Twist,chest
Incline Dumbbell Press,chest
Incline Push-Up,chest
Incline Push-Up Medium,chest
Incline Push-Up Reverse Grip,chest
Incline Push-Up Wide,chest
Isometric Wipers,chest
One Arm Dumbbell Bench Press,chest
3/4 Sit-Up,core
Air Bike,core
Alternate Heel Touchers,core
Barbell Side Bend,core
Bent-Knee Hip Raise,core
Bottoms Up,core
Butt-Ups,core
Cocoons,core
Cross-Body Crunch,core
Crunch - Hands Overhead,core
Crunch - Legs On Exercise Ball,core
Crunches,core
Dead Bug,core
Decline Oblique Crunch,core
Decline Reverse Crunch,core
Dumbbell Side Bend,core
Elbow to Knee,core
Flat Bench Leg Pull-In,core
Flat Bench Lying Leg Raise,core
Jackknife Sit-Up,core
Barbell Seated Calf Raise,legs
Barbell Side Split Squat,legs
Barbell Squat,legs
Barbell Walking Lunge,legs
Bodyweight Squat,legs
Butt Lift (Bridge),legs
Dumbbell Lunges,legs
Dumbbell Seated One-Leg Calf Raise,legs
Dumbbell Squat,legs
Flutter Kicks,legs
Glute Kickback,legs
Leg Lift,legs
Plie Dumbbell Squat,legs
Rocking Standing Calf Raise,legs
Single Leg Glute Bridge,legs
Split Squat with Dumbbells,legs
Standing Barbell Calf Raise,legs
Step-up with Knee Raise,legs
Stiff-Legged Dumbbell Deadlift,legs
Alternating Deltoid Raise,shoulders
Anti-Gravity Press,shoulders
Barbell Incline Shoulder Raise,shoulders
Barbell Rear Delt Row,shoulders
Bent Over Dumbbell Rear Delt Raise With Head On Bench,shoulders
Bradford/Rocky Presses,shoulders
Car Drivers,shoulders
Dumbbell Incline Shoulder Raise,shoulders
Dumbbell Raise,shoulders
Dumbbell Scaption,shoulders
External Rotation,shoulders
Front Dumbbell Raise,shoulders
Front Incline Dumbbell Raise,shoulders
Front Two-Dumbbell Raise,shoulders
One-Arm Incline Lateral Raise,shoulders
One-Arm Side Laterals,shoulders
Power Partials,shoulders
Reverse Flyes,shoulders
Seated Dumbbell Press,shoulders
Seated Side Lateral Raise,shoulders
